group,team,number,player,position,date_of_birth,age,caps,goals,club,is_captain,norm,club_data,Gls,Gls,Ast,Ast,Min,MP
Group D,Australia,1,Mathew Ryan,GK,1992-04-08,34.0,104,0,Levante,True,mathew ryan,True,0,0.0,0,0.0,3240,36
Group D,Australia,3,Alessandro Circati,DF,2003-10-10,22.0,13,1,Parma,False,alessandro circati,True,1,0.03,0,0.0,2664,31
Group D,Australia,8,Connor Metcalfe,MF,1999-11-05,26.0,36,1,FC St. Pauli,False,connor metcalfe,True,0,0.0,2,0.3,592,25
Group D,Australia,20,Cristian Volpato,FW,2003-11-15,22.0,1,0,Sassuolo,False,cristian volpato,True,2,0.17,4,0.34,1064,24
Group D,Australia,22,Jackson Irvine,MF,1993-03-07,33.0,82,14,FC St. Pauli,False,jackson irvine,True,0,0.0,1,0.06,1624,24
Group D,Paraguay,3,Omar Alderete,DF,1996-12-26,29.0,36,3,Sunderland,False,omar alderete,True,1,0.03,1,0.03,2798,33
Group D,Paraguay,8,Diego Gómez,MF,2003-03-27,23.0,24,3,Brighton & Hove Albion,False,diego gomez,True,5,0.21,1,0.04,2120,32
Group D,Paraguay,9,Antonio Sanabria,FW,1996-03-04,30.0,48,7,Cremonese,False,antonio sanabria,True,1,0.1,1,0.1,945,25
Group D,Paraguay,19,Julio Enciso,FW,2004-01-23,22.0,32,4,Strasbourg,False,julio enciso,True,3,0.14,6,0.29,1883,27
Group D,Turkey,2,Zeki Çelik,DF,1997-02-17,29.0,61,3,Roma,False,zeki celik,True,1,0.03,2,0.07,2723,34
Group D,Turkey,5,Salih Özcan,MF,1998-01-11,28.0,30,1,Borussia Dortmund,False,salih ozcan,True,0,0.0,0,0.0,81,11
Group D,Turkey,8,Arda Güler,FW,2005-02-25,21.0,29,6,Real Madrid,False,arda guler,True,4,0.18,9,0.4,2014,33
Group D,Turkey,10,Hakan Çalhanoğlu,MF,1994-02-08,32.0,105,22,Inter Milan,True,hakan calhanoglu,True,9,0.49,4,0.22,1639,22
Group D,Turkey,11,Kenan Yıldız,FW,2005-05-04,21.0,28,5,Juventus,False,kenan yldz,True,10,0.32,6,0.19,2825,36
Group D,Turkey,12,Altay Bayındır,GK,1998-04-14,28.0,12,0,Manchester United,False,altay bayndr,True,0,0.0,0,0.0,540,6
Group D,Turkey,15,Ozan Kabak,DF,2000-03-25,26.0,30,2,TSG Hoffenheim,False,ozan kabak,True,4,0.21,0,0.0,1751,25
Group D,Turkey,26,Can Uzun,FW,2005-11-11,20.0,6,1,Eintracht Frankfurt,False,can uzun,True,8,0.62,4,0.31,1156,21
Group D,United States,3,Chris Richards,DF,2000-03-28,26.0,36,3,Crystal Palace,False,chris richards,True,1,0.03,0,0.0,2827,33
Group D,United States,4,Tyler Adams,MF,1999-02-14,27.0,54,2,Bournemouth,False,tyler adams,True,2,0.1,2,0.1,1772,25
Group D,United States,5,Antonee Robinson,DF,1997-08-08,28.0,54,5,Fulham,False,antonee robinson,True,1,0.06,0,0.0,1492,22
Group D,United States,8,Weston McKennie,MF,1998-08-28,27.0,66,12,Juventus,False,weston mckennie,True,5,0.16,5,0.16,2835,36
Group D,United States,10,Christian Pulisic,FW,1998-09-18,27.0,86,33,Milan,False,christian pulisic,True,8,0.45,4,0.22,1609,30
Group D,United States,11,Brenden Aaronson,FW,2000-10-22,25.0,58,9,Leeds United,False,brenden aaronson,True,4,0.15,5,0.18,2449,37
